iter	Logloss
0	0.6338449314
1	0.588491885
2	0.5500403874
3	0.5174908844
4	0.4928580231
5	0.4709233703
6	0.446944598
7	0.4300569655
8	0.4171091159
9	0.4060308421
10	0.3969786782
11	0.3900147854
12	0.3848364112
13	0.3769525582
14	0.3714187696
15	0.3627758768
16	0.3560376292
17	0.3505594192
18	0.3425678042
19	0.3370203247
20	0.3335695066
21	0.3278199956
22	0.3231866694
23	0.3173799902
24	0.3113573542
25	0.3072581486
26	0.303649206
27	0.2996421513
28	0.297670908
29	0.296167837
30	0.2937757564
31	0.2900626842
32	0.2872531476
33	0.2839250831
34	0.2812550332
35	0.2783513451
36	0.2753404693
37	0.2730199014
38	0.2711931672
39	0.2680535149
40	0.2653816413
41	0.2623547709
42	0.2592993254
43	0.2580136613
44	0.2559833834
45	0.2544493498
46	0.2533520309
47	0.2499446422
48	0.2477739984
49	0.2460677046
50	0.2441338926
51	0.2411126306
52	0.23828383
53	0.2363799006
54	0.2351632578
55	0.23333247
56	0.232673822
57	0.2309390667
58	0.2290661721
59	0.2270005151
60	0.2262882544
61	0.2244099225
62	0.2224851145
63	0.2208325903
64	0.2197586739
65	0.216591196
66	0.2151235183
67	0.2141083958
68	0.2125170618
69	0.2111302295
70	0.2093991592
71	0.2081893963
72	0.207521616
73	0.2059426201
74	0.2041624598
75	0.203215947
76	0.2017723725
77	0.2009388193
78	0.1995510664
79	0.198376949
80	0.1967679747
81	0.1948570262
82	0.1938231325
83	0.1924274672
84	0.191483407
85	0.1899224264
86	0.1890883506
87	0.1878068784
88	0.1867590117
89	0.1858191848
90	0.1850933768
91	0.1841230538
92	0.1832395428
93	0.1822342849
94	0.1813693568
95	0.1802124132
96	0.1793032849
97	0.1783416021
98	0.1773918354
99	0.1763272853
100	0.1747968105
101	0.1728658857
102	0.1721430122
103	0.1717044608
104	0.1701552424
105	0.1693549454
106	0.168424317
107	0.1664883648
108	0.1655873574
109	0.1645711983
110	0.1627086007
111	0.1615385293
112	0.1608367487
113	0.1596189124
114	0.1590189688
115	0.1580310663
116	0.1573875849
117	0.1567079697
118	0.1554895471
119	0.1537115499
120	0.1529584566
121	0.1515171563
122	0.1505848363
123	0.1499209048
124	0.1492893299
125	0.1483817203
126	0.1478805171
127	0.1470229859
128	0.1460888176
129	0.144557842
130	0.1439771319
131	0.1432649934
132	0.142361046
133	0.1419030178
134	0.1407355129
135	0.1399408751
136	0.1387215978
137	0.1378110787
138	0.1371087914
139	0.1363552993
140	0.1356843834
141	0.1345664958
142	0.1333408968
143	0.1323760927
144	0.1307646111
145	0.1299084027
146	0.1293278231
147	0.1286354187
148	0.1279794117
149	0.1275849654
150	0.1270118677
151	0.125906378
152	0.1248928444
153	0.1242517983
154	0.1238023791
155	0.1229385505
156	0.1224030234
157	0.1217808355
158	0.1209788124
159	0.1197372974
160	0.1192624479
161	0.11843376
162	0.117503243
163	0.1168942751
164	0.1160295838
165	0.1152428371
166	0.1151068298
167	0.1139737496
168	0.113439903
169	0.113288603
170	0.1128345444
171	0.1124112581
172	0.111938462
173	0.1114132255
174	0.1107586758
175	0.1100561368
176	0.1095219684
177	0.1091257112
178	0.1090553197
179	0.1087907203
180	0.1081948557
181	0.1076361165
182	0.1071701843
183	0.1067788307
184	0.1063565594
185	0.1057864427
186	0.1051125556
187	0.1042461932
188	0.103785326
189	0.1032278341
190	0.1027091907
191	0.1019340284
192	0.1013843748
193	0.1007022409
194	0.1002164937
195	0.09964966383
196	0.09909441605
197	0.09865919569
198	0.09798151337
199	0.09757533688
