iter	Passed	Remaining
0	98	19608
1	203	20135
2	312	20493
3	418	20520
4	530	20681
5	645	20866
6	757	20897
7	880	21124
8	997	21167
9	1108	21068
10	1216	20899
11	1324	20756
12	1429	20566
13	1538	20441
14	1645	20294
15	1749	20122
16	1850	19919
17	1955	19770
18	2051	19539
19	2155	19401
20	2260	19270
21	2366	19149
22	2465	18974
23	2574	18878
24	2689	18825
25	2792	18686
26	2893	18541
27	3003	18451
28	3114	18363
29	3227	18288
30	3341	18215
31	3456	18145
32	3572	18078
33	3686	17998
34	3798	17907
35	3901	17775
36	4008	17660
37	4113	17537
38	4217	17409
39	4319	17277
40	4420	17144
41	4528	17037
42	4629	16904
43	4726	16758
44	4869	16773
45	4961	16609
46	5053	16450
47	5150	16310
48	5241	16152
49	5336	16008
50	5430	15866
51	5526	15728
52	5618	15583
53	5714	15451
54	5808	15312
55	5903	15180
56	5998	15048
57	6094	14921
58	6191	14797
59	6288	14673
60	6384	14549
61	6481	14427
62	6575	14299
63	6667	14169
64	6761	14043
65	6850	13908
66	6943	13783
67	7035	13656
68	7126	13530
69	7216	13401
70	7304	13271
71	7400	13157
72	7496	13041
73	7592	12928
74	7681	12803
75	7768	12674
76	7863	12561
77	7951	12437
78	8048	12327
79	8141	12212
80	8235	12099
81	8329	11986
82	8423	11874
83	8528	11778
84	8623	11666
85	8714	11551
86	8809	11441
87	8905	11334
88	8999	11223
89	9098	11120
90	9189	11007
91	9276	10889
92	9365	10775
93	9456	10663
94	9544	10549
95	9634	10437
96	9725	10327
97	9812	10212
98	9905	10105
99	9998	9998
100	10100	9900
101	10197	9797
102	10295	9695
103	10389	9590
104	10491	9492
105	10591	9392
106	10684	9286
107	10782	9184
108	10883	9086
109	10984	8987
110	11088	8890
111	11193	8794
112	11308	8706
113	11413	8610
114	11517	8512
115	11625	8418
116	11744	8331
117	11848	8233
118	11952	8135
119	12060	8040
120	12162	7940
121	12264	7841
122	12359	7737
123	12468	7642
124	12575	7545
125	12679	7446
126	12784	7348
127	12888	7249
128	12990	7149
129	13095	7051
130	13195	6950
131	13303	6853
132	13413	6757
133	13513	6655
134	13625	6560
135	13731	6461
136	13848	6368
137	13951	6268
138	14054	6167
139	14158	6068
140	14261	5967
141	14373	5871
142	14481	5772
143	14599	5677
144	14710	5579
145	14811	5478
146	14916	5378
147	15022	5278
148	15124	5176
149	15226	5075
150	15337	4977
151	15447	4878
152	15561	4780
153	15667	4679
154	15770	4578
155	15877	4478
156	15989	4379
157	16105	4281
158	16217	4181
159	16325	4081
160	16430	3980
161	16548	3881
162	16658	3781
163	16771	3681
164	16882	3581
165	16987	3479
166	17092	3377
167	17210	3278
168	17320	3177
169	17441	3077
170	17549	2976
171	17659	2874
172	17762	2772
173	17869	2670
174	17971	2567
175	18082	2465
176	18191	2363
177	18301	2261
178	18403	2159
179	18509	2056
180	18620	1954
181	18720	1851
182	18832	1749
183	18939	1646
184	19045	1544
185	19151	1441
186	19257	1338
187	19371	1236
188	19484	1134
189	19592	1031
190	19698	928
191	19810	825
192	19921	722
193	20027	619
194	20131	516
195	20236	412
196	20340	309
197	20442	206
198	20542	103
199	20642	0
